ens_id	chr	start	end	strand	cpg_den	cpg_sum
ENSMUSG00000000301	chr11	60006051	60011051	-	0.0096	48
ENSMUSG00000000303	chr8	106634298	106639298	+	0.0136	68
ENSMUSG00000000305	chr2	179668402	179673402	+	0.0164	82
ENSMUSG00000000308	chr2	121358225	121363225	+	0.016	80
ENSMUSG00000000317	chr11	70224463	70229463	-	0.0256	128
ENSMUSG00000000318	chr11	70161015	70166015	+	0.0092	46
ENSMUSG00000000320	chr11	70245905	70250905	-	0.0122	61
ENSMUSG00000000325	chr16	18375129	18380129	+	0.0098	49
ENSMUSG00000000326	chr16	18414369	18419369	-	0.0102	51
ENSMUSG00000000339	chr3	116496085	116501085	-	0.0124	62
ENSMUSG00000000340	chr3	116529025	116534025	+	0.011	55
ENSMUSG00000000346	chr15	100615679	100620679	+	0.0212	106
ENSMUSG00000000355	chrX	38604502	38609502	+	0.0058	29
ENSMUSG00000000359	chr2	152628574	152633574	+	0.0152	76
ENSMUSG00000000365	chr14	56461306	56466306	+	0.0054	27
ENSMUSG00000000374	chr10	78213183	78218183	-	0.0122	61
ENSMUSG00000000378	chr11	6569315	6574315	+	0.012	60
ENSMUSG00000000381	chr11	6634559	6639559	-	0.0102	51
ENSMUSG00000000384	chr11	6618332	6623332	-	0.015	75
ENSMUSG00000000385	chr16	97585439	97590439	-	0.0174	87
ENSMUSG00000000386	chr16	97452471	97457471	-	0.0034	17
ENSMUSG00000000392	chr2	62535009	62540009	-	0.0064	32
ENSMUSG00000000394	chr2	62476590	62481590	-	0.0102	51
ENSMUSG00000000399	chr6	126832928	126837928	-	0.0142	71
ENSMUSG00000000402	chrX	166551863	166556863	-	0.0084	42
ENSMUSG00000000409	chr4	129558492	129563492	-	0.0106	53
ENSMUSG00000000411	chr4	129487518	129492518	-	0.0288	144
ENSMUSG00000000416	chr6	18438160	18443160	-	0.0042	21
ENSMUSG00000000420	chr18	24243581	24248581	+	0.0084	42
ENSMUSG00000000435	chr10	107482021	107487021	-	0.0176	88
ENSMUSG00000000439	chr6	115609763	115614763	+	0.0082	41
ENSMUSG00000000440	chr6	115423175	115428175	+	0.005	25
ENSMUSG00000000441	chr6	115644851	115649851	-	0.0078	39
ENSMUSG00000000486	chr7	127221288	127226288	-	0.0102	51
ENSMUSG00000000489	chr15	80002854	80007854	-	0.0182	91
ENSMUSG00000000530	chr15	101134429	101139429	+	0.018	90
ENSMUSG00000000531	chr15	101225981	101230981	+	0.0176	88
ENSMUSG00000000532	chr15	101191373	101196373	+	0.0162	81
ENSMUSG00000000538	chr11	60287309	60292309	-	0.0102	51
ENSMUSG00000000544	chr1	166145874	166150874	+	0.0112	56
ENSMUSG00000000552	chr15	103324490	103329490	-	0.0054	27
ENSMUSG00000000555	chr15	103353024	103358024	-	0.0094	47
ENSMUSG00000000560	chr5	71024223	71029223	-	0.0046	23
ENSMUSG00000000561	chr3	105962203	105967203	+	0.0072	36
ENSMUSG00000000562	chr3	105887392	105892392	+	0.006	30
ENSMUSG00000000563	chr3	105948898	105953898	-	0.005	25
ENSMUSG00000000567	chr11	112782492	112787492	+	0.0396	198
ENSMUSG00000000568	chr5	99964936	99969936	-	0.006	30
ENSMUSG00000000579	chr17	6603222	6608222	+	0.014	70
ENSMUSG00000000581	chr11	17260877	17265877	+	0.0102	51
ENSMUSG00000000594	chr11	55103072	55108072	+	0.0124	62
ENSMUSG00000000600	chr5	3821874	3826874	+	0.0044	22
ENSMUSG00000000605	chr7	7289080	7294080	-	0.0144	72
ENSMUSG00000000606	chr14	51412673	51417673	+	0.0024	12
ENSMUSG00000000617	chr11	50855946	50860946	+	0.0166	83
ENSMUSG00000000627	chr6	82923327	82928327	-	0.0086	43
ENSMUSG00000000628	chr6	82747239	82752239	-	0.0148	74
ENSMUSG00000000631	chr11	77812113	77817113	+	0.0136	68
ENSMUSG00000000632	chr11	77952424	77957424	+	0.013	65
ENSMUSG00000000673	chr17	83836573	83841573	-	0.015	75
ENSMUSG00000000682	chr4	134086265	134091265	-	0.0168	84
ENSMUSG00000000686	chr11	77524364	77529364	+	0.0068	34
ENSMUSG00000000690	chr11	96294522	96299522	+	0.0326	163
ENSMUSG00000000693	chr6	83040867	83045867	+	0.0106	53
ENSMUSG00000000701	chr12	105176244	105181244	+	0.0068	34
ENSMUSG00000000706	chr13	23458946	23463946	-	0.0094	47
ENSMUSG00000000708	chr17	53617290	53622290	+	0.0098	49
ENSMUSG00000000711	chr10	128684219	128689219	-	0.0062	31
ENSMUSG00000000724	chr11	77719449	77724449	-	0.0084	42
ENSMUSG00000000730	chr10	78050284	78055284	+	0.0138	69
ENSMUSG00000000731	chr10	78034316	78039316	-	0.0162	81
ENSMUSG00000000732	chr10	78074107	78079107	+	0.0128	64
ENSMUSG00000000738	chr8	123077851	123082851	+	0.0136	68
ENSMUSG00000000739	chr8	123146753	123151753	-	0.0174	87
ENSMUSG00000000740	chr8	123101297	123106297	+	0.0298	149
ENSMUSG00000000743	chr8	123206013	123211013	-	0.0236	118
ENSMUSG00000000751	chr11	75320745	75325745	-	0.0124	62
ENSMUSG00000000753	chr11	75413735	75418735	-	0.0156	78
ENSMUSG00000000759	chr8	12640762	12645762	-	0.0138	69
ENSMUSG00000000766	chr10	6895852	6900852	+	0.0078	39
ENSMUSG00000000776	chr14	70438602	70443602	-	0.0322	161
ENSMUSG00000000782	chr11	52265192	52270192	-	0.0128	64
ENSMUSG00000000787	chrX	13285011	13290011	+	0.007	35
ENSMUSG00000000791	chr8	70812436	70817436	+	0.0222	111
ENSMUSG00000000792	chr8	70885323	70890323	-	0.017	85
ENSMUSG00000000794	chr3	89595148	89600148	+	0.0152	76
ENSMUSG00000000804	chr11	85059801	85064801	-	0.0176	88
ENSMUSG00000000805	chr11	84959415	84964415	+	0.012	60
ENSMUSG00000000811	chr6	89657258	89662258	+	0.0078	39
ENSMUSG00000000817	chr1	161782092	161787092	-	0.0062	31
ENSMUSG00000000823	chr2	181584953	181589953	-	0.0148	74
ENSMUSG00000000826	chr2	181535309	181540309	+	0.008	40
ENSMUSG00000000827	chr2	181505054	181510054	+	0.007	35
ENSMUSG00000000838	chrX	68695752	68700752	+	0.0044	22
ENSMUSG00000000861	chr11	24123589	24128589	+	0.0068	34
ENSMUSG00000000869	chr11	53608325	53613325	-	0.011	55
ENSMUSG00000000876	chr2	154592233	154597233	-	0.0108	54
ENSMUSG00000000881	chrX	100790566	100795566	+	0.0104	52
ENSMUSG00000000884	chr16	18530223	18535223	+	0.0092	46
ENSMUSG00000000889	chr2	27171716	27176716	+	0.011	55
ENSMUSG00000000901	chr10	75927359	75932359	-	0.018	90
ENSMUSG00000000902	chr10	75906693	75911693	-	0.013	65
ENSMUSG00000000903	chr10	75943857	75948857	+	0.0124	62
ENSMUSG00000000915	chr5	123987093	123992093	+	0.019	95
ENSMUSG00000000916	chr5	135370879	135375879	+	0.016	80
ENSMUSG00000000934	chr15	75665417	75670417	-	0.021	105
ENSMUSG00000000938	chr6	52233525	52238525	-	0.0358	179
ENSMUSG00000000942	chr6	52188212	52193212	-	0.0442	221
ENSMUSG00000000948	chr7	59987106	59992106	-	0.0048	24
ENSMUSG00000000957	chr14	54435988	54440988	+	0.02	100
ENSMUSG00000000958	chr14	54391111	54396111	-	0.0072	36
ENSMUSG00000000959	chr14	54362753	54367753	+	0.0116	58
ENSMUSG00000000976	chr11	83766225	83771225	+	0.0124	62
ENSMUSG00000000982	chr11	83646099	83651099	-	0.008	40
ENSMUSG00000000983	chr11	83707681	83712681	+	0.0062	31
ENSMUSG00000001014	chr9	21027484	21032484	+	0.0344	172
ENSMUSG00000001016	chr3	90479752	90484752	+	0.008	40
ENSMUSG00000001017	chr3	90501727	90506727	-	0.0098	49
ENSMUSG00000001018	chr3	90487029	90492029	-	0.0164	82
ENSMUSG00000001020	chr3	90602408	90607408	+	0.0104	52
ENSMUSG00000001021	chr3	90579140	90584140	+	0.0098	49
ENSMUSG00000001023	chr3	90607651	90612651	+	0.0058	29
ENSMUSG00000001025	chr3	90616031	90621031	+	0.004	20
ENSMUSG00000001027	chr11	106333440	106338440	-	0.0138	69
ENSMUSG00000001029	chr11	106380365	106385365	-	0.0144	72
ENSMUSG00000001034	chr11	61489109	61494109	-	0.0272	136
ENSMUSG00000001036	chr11	61545968	61550968	-	0.0108	54
ENSMUSG00000001039	chr11	61506537	61511537	+	0.008	40
ENSMUSG00000001052	chr3	130019656	130024656	-	0.0082	41
ENSMUSG00000001053	chr11	51644452	51649452	-	0.019	95
ENSMUSG00000001054	chr11	51627283	51632283	-	0.015	75
ENSMUSG00000001056	chr11	51619224	51624224	+	0.022	110
ENSMUSG00000001062	chr8	123245852	123250852	-	0.0176	88
ENSMUSG00000001065	chr8	123259470	123264470	+	0.0128	64
ENSMUSG00000001076	chr15	99083751	99088751	-	0.0322	161
ENSMUSG00000001082	chr5	34632927	34637927	-	0.0222	111
ENSMUSG00000001089	chr4	136509770	136514770	+	0.0032	16
ENSMUSG00000001095	chr11	78407152	78412152	-	0.0068	34
ENSMUSG00000001098	chr5	114369537	114374537	-	0.0228	114
ENSMUSG00000001100	chr11	78514964	78519964	+	0.0128	64
ENSMUSG00000001103	chr11	78501764	78506764	+	0.01	50
ENSMUSG00000001105	chr11	78536549	78541549	+	0.0152	76
ENSMUSG00000001119	chr10	76714980	76719980	-	0.0154	77
ENSMUSG00000001120	chr10	76859372	76864372	-	0.0072	36
ENSMUSG00000001123	chr11	78971460	78976460	-	0.0138	69
ENSMUSG00000001127	chrX	20826666	20831666	+	0.0088	44
ENSMUSG00000001128	chrX	20926004	20931004	-	0.0076	38
ENSMUSG00000001131	chrX	20869950	20874950	+	0.0102	51
ENSMUSG00000001134	chrX	20949369	20954369	-	0.0114	57
ENSMUSG00000001138	chr1	36517552	36522552	+	0.0186	93
ENSMUSG00000001143	chr1	36430071	36435071	-	0.0118	59
ENSMUSG00000001150	chr10	76489892	76494892	+	0.016	80
ENSMUSG00000001151	chr10	76394524	76399524	-	0.0106	53
ENSMUSG00000001155	chr10	76580493	76585493	+	0.0134	67
ENSMUSG00000001156	chr6	86655601	86660601	-	0.0136	68
ENSMUSG00000001157	chr6	86710075	86715075	-	0.0072	36
ENSMUSG00000001158	chr6	86677336	86682336	-	0.0108	54
ENSMUSG00000001166	chr5	120803854	120808854	-	0.009	45
ENSMUSG00000001168	chr5	120864963	120869963	+	0.0078	39
ENSMUSG00000001173	chrX	47936627	47941627	+	0.0084	42
ENSMUSG00000001175	chr12	100202124	100207124	+	0.012	60
ENSMUSG00000001211	chr10	78308333	78313333	-	0.011	55
ENSMUSG00000001225	chr12	31429894	31434894	+	0.004	20
ENSMUSG00000001227	chr17	56129214	56134214	-	0.0214	107
ENSMUSG00000001228	chr17	56310903	56315903	+	0.015	75
ENSMUSG00000001229	chr17	56200348	56205348	-	0.0138	69
ENSMUSG00000001240	chr11	101250287	101255287	+	0.0168	84
ENSMUSG00000001247	chr7	30963117	30968117	-	0.0128	64
ENSMUSG00000001248	chr7	31140511	31145511	-	0.0202	101
ENSMUSG00000001249	chr7	31104507	31109507	-	0.0104	52
ENSMUSG00000001260	chr5	70794332	70799332	-	0.0028	14
ENSMUSG00000001270	chr12	111668349	111673349	-	0.0456	228
ENSMUSG00000001280	chr15	102418773	102423773	+	0.0052	26
ENSMUSG00000001281	chr15	102221465	102226465	-	0.0242	121
ENSMUSG00000001285	chr15	102332424	102337424	+	0.0136	68
ENSMUSG00000001288	chr15	102243727	102248727	-	0.0408	204
ENSMUSG00000001289	chr15	102326494	102331494	+	0.018	90
ENSMUSG00000001300	chr8	8636838	8641838	-	0.0106	53
ENSMUSG00000001305	chr1	186732668	186737668	-	0.0142	71
ENSMUSG00000001313	chr11	101465926	101470926	+	0.0382	191
ENSMUSG00000001323	chr11	74913653	74918653	-	0.0066	33
ENSMUSG00000001333	chr4	129295588	129300588	+	0.0142	71
ENSMUSG00000001334	chr4	129138296	129143296	+	0.0162	81
ENSMUSG00000001348	chr9	22128719	22133719	-	0.026	130
ENSMUSG00000001349	chr9	22101923	22106923	+	0.0122	61
ENSMUSG00000001366	chr9	78092782	78097782	-	0.0102	51
ENSMUSG00000001376	chr6	3548456	3553456	+	0.0092	46
ENSMUSG00000001380	chr18	36772367	36777367	-	0.0092	46
ENSMUSG00000001383	chr18	36794291	36799291	+	0.0132	66
ENSMUSG00000001403	chr2	164771860	164776860	+	0.0144	72
ENSMUSG00000001415	chr3	88346799	88351799	+	0.0124	62
ENSMUSG00000001416	chr3	88306941	88311941	+	0.0064	32
ENSMUSG00000001418	chr3	88325668	88330668	+	0.0174	87
ENSMUSG00000001419	chr3	88154729	88159729	+	0.0156	78
ENSMUSG00000001420	chr3	88329901	88334901	-	0.0194	97
ENSMUSG00000001424	chr6	28702650	28707650	+	0.0084	42
ENSMUSG00000001435	chr10	77106863	77111863	-	0.0122	61
ENSMUSG00000001436	chr10	77044121	77049121	+	0.0082	41
ENSMUSG00000001440	chr11	97171297	97176297	-	0.009	45
ENSMUSG00000001441	chr11	97240740	97245740	-	0.009	45
ENSMUSG00000001444	chr11	97104201	97109201	-	0.0112	56
ENSMUSG00000001445	chr11	97042886	97047886	+	0.0148	74
ENSMUSG00000001467	chr5	4090445	4095445	-	0.0094	47
ENSMUSG00000001472	chr8	123386294	123391294	+	0.0174	87
ENSMUSG00000001473	chr18	67394232	67399232	+	0.012	60
ENSMUSG00000001482	chr8	123440898	123445898	+	0.0184	92
ENSMUSG00000001493	chr11	101883442	101888442	-	0.011	55
ENSMUSG00000001494	chr11	101962236	101967236	-	0.0306	153
ENSMUSG00000001496	chr12	56531933	56536933	-	0.0572	286
ENSMUSG00000001497	chr12	56699794	56704794	+	0.0148	74
ENSMUSG00000001504	chr13	72629009	72634009	+	0.0494	247
ENSMUSG00000001506	chr11	94942133	94947133	+	0.0164	82
ENSMUSG00000001507	chr11	95058137	95063137	-	0.0178	89
ENSMUSG00000001508	chr11	94967059	94972059	-	0.0164	82
ENSMUSG00000001510	chr11	95120207	95125207	+	0.037	185
ENSMUSG00000001517	chr6	128367056	128372056	+	0.0172	86
ENSMUSG00000001518	chr6	128414687	128419687	-	0.0096	48
ENSMUSG00000001520	chr6	128405361	128410361	+	0.0128	64
ENSMUSG00000001521	chr6	128336006	128341006	-	0.0148	74
ENSMUSG00000001524	chr17	35668234	35673234	-	0.0194	97
ENSMUSG00000001525	chr17	35833613	35838613	-	0.034	170
ENSMUSG00000001542	chr13	75737060	75742060	+	0.0082	41
ENSMUSG00000001552	chr11	100380860	100385860	-	0.0142	71
ENSMUSG00000001555	chr11	100417760	100422760	+	0.0174	87
ENSMUSG00000001558	chr11	100446969	100451969	+	0.0134	67
ENSMUSG00000001566	chr5	29473252	29478252	-	0.0384	192
ENSMUSG00000001569	chr5	29443753	29448753	+	0.006	30
ENSMUSG00000001576	chr17	26606710	26611710	+	0.011	55
ENSMUSG00000001583	chr11	69852367	69857367	-	0.022	110
ENSMUSG00000001588	chr11	69886053	69891053	-	0.0142	71
ENSMUSG00000001604	chr4	136258813	136263813	+	0.0134	67
ENSMUSG00000001622	chr5	87926622	87931622	+	0.0042	21
ENSMUSG00000001627	chr12	40222535	40227535	-	0.03	150
ENSMUSG00000001630	chr6	146749403	146754403	+	0.0048	24
ENSMUSG00000001632	chr6	113313498	113318498	+	0.0122	61
ENSMUSG00000001642	chr6	34307456	34312456	-	0.0168	84
ENSMUSG00000001655	chr15	102922458	102927458	+	0.0116	58
ENSMUSG00000001656	chr15	102953567	102958567	+	0.0382	191
ENSMUSG00000001657	chr15	102989859	102994859	+	0.0234	117
ENSMUSG00000001661	chr15	103002569	103007569	+	0.0118	59
ENSMUSG00000001663	chr10	75788698	75793698	-	0.0104	52
ENSMUSG00000001665	chr10	75775264	75780264	-	0.0102	51
ENSMUSG00000001666	chr10	75769822	75774822	-	0.0224	112
ENSMUSG00000001670	chr8	109992620	109997620	+	0.0122	61
ENSMUSG00000001672	chr8	109952558	109957558	-	0.0152	76
ENSMUSG00000001674	chr1	121558412	121563412	-	0.0126	63
ENSMUSG00000001687	chr5	148526212	148531212	-	0.0092	46
ENSMUSG00000001700	chr18	56465462	56470462	+	0.0142	71
ENSMUSG00000001707	chr13	38649132	38654132	-	0.013	65
ENSMUSG00000001729	chr12	112661852	112666852	-	0.0202	101
ENSMUSG00000001739	chr5	136968737	136973737	+	0.0122	61
ENSMUSG00000001741	chr7	83691775	83696775	-	0.005	25
ENSMUSG00000001750	chr19	3899091	3904091	-	0.016	80
ENSMUSG00000001751	chr11	101071342	101076342	+	0.0142	71
ENSMUSG00000001755	chr11	101082092	101087092	+	0.0288	144
ENSMUSG00000001761	chr6	29745934	29750934	+	0.007	35
ENSMUSG00000001763	chr6	29703890	29708890	+	0.0098	49
ENSMUSG00000001767	chr2	145923746	145928746	-	0.0088	44
ENSMUSG00000001768	chr2	145833675	145838675	+	0.0076	38
ENSMUSG00000001773	chr7	86744960	86749960	-	0.0026	13
ENSMUSG00000001774	chr9	18302283	18307283	+	0.006	30
ENSMUSG00000001783	chr10	85945730	85950730	-	0.009	45
ENSMUSG00000001785	chr10	85856795	85861795	+	0.0084	42
ENSMUSG00000001786	chr10	86034422	86039422	+	0.0064	32
ENSMUSG00000001794	chr7	30190373	30195373	-	0.0298	149
ENSMUSG00000001802	chr7	35205262	35210262	-	0.0074	37
ENSMUSG00000001804	chr18	20451498	20456498	+	0.0042	21
ENSMUSG00000001815	chr2	74653774	74658774	-	0.0508	254
ENSMUSG00000001819	chr2	74667454	74672454	+	0.0376	188
ENSMUSG00000001823	chr2	74673859	74678859	+	0.0244	122
ENSMUSG00000001827	chr7	101862059	101867059	-	0.0086	43
ENSMUSG00000001829	chr7	101727069	101732069	+	0.0062	31
ENSMUSG00000001833	chr9	25278005	25283005	+	0.005	25
ENSMUSG00000001844	chr5	143320372	143325372	-	0.016	80
ENSMUSG00000001847	chr5	143513335	143518335	-	0.0116	58
ENSMUSG00000001855	chr2	32011705	32016705	+	0.0062	31
ENSMUSG00000001864	chr2	31959290	31964290	+	0.0164	82
ENSMUSG00000001865	chr3	20226400	20231400	-	0.0054	27
ENSMUSG00000001870	chr17	75196540	75201540	+	0.0064	32
ENSMUSG00000001891	chr11	21343669	21348669	-	0.0064	32
ENSMUSG00000001901	chr11	106018836	106023836	+	0.0226	113
ENSMUSG00000001909	chr8	84690557	84695557	+	0.012	60
ENSMUSG00000001910	chr8	84676672	84681672	-	0.0092	46
ENSMUSG00000001911	chr8	84747610	84752610	-	0.0156	78
ENSMUSG00000001918	chr7	16787307	16792307	+	0.0118	59
ENSMUSG00000001924	chrX	20668252	20673252	+	0.0134	67
ENSMUSG00000001930	chr6	125614226	125619226	+	0.0128	64
ENSMUSG00000001942	chr9	37600176	37605176	+	0.0072	36
ENSMUSG00000001943	chr9	37539230	37544230	+	0.0128	64
ENSMUSG00000001946	chr9	37530698	37535698	+	0.0138	69
ENSMUSG00000001948	chr9	37606006	37611006	-	0.0046	23
ENSMUSG00000001962	chrX	74314091	74319091	+	0.0078	39
ENSMUSG00000001964	chrX	74255617	74260617	+	0.0062	31
ENSMUSG00000001983	chr11	106067336	106072336	+	0.0078	39
ENSMUSG00000001985	chr4	125599936	125604936	+	0.0136	68
ENSMUSG00000001986	chrX	41537227	41542227	+	0.0052	26
ENSMUSG00000001988	chr7	16464224	16469224	-	0.013	65
ENSMUSG00000001995	chr8	125491435	125496435	-	0.0168	84
ENSMUSG00000001998	chr2	127035813	127040813	+	0.0102	51
ENSMUSG00000001999	chr2	127081374	127086374	+	0.0076	38
ENSMUSG00000002006	chrX	73806664	73811664	-	0.0052	26
ENSMUSG00000002007	chrX	73774165	73779165	+	0.0116	58
ENSMUSG00000002010	chrX	73780430	73785430	-	0.0068	34
ENSMUSG00000002012	chrX	73655555	73660555	-	0.0218	109
ENSMUSG00000002014	chrX	73786429	73791429	+	0.021	105
ENSMUSG00000002015	chrX	73698676	73703676	-	0.0048	24
ENSMUSG00000002017	chr17	75542016	75547016	-	0.011	55
ENSMUSG00000002020	chr12	84827372	84832372	-	0.015	75
ENSMUSG00000002028	chr9	44839825	44844825	-	0.014	70
ENSMUSG00000002031	chr9	44778177	44783177	+	0.0082	41
ENSMUSG00000002032	chr9	44794038	44799038	-	0.014	70
ENSMUSG00000002033	chr9	44972501	44977501	-	0.0094	47
ENSMUSG00000002043	chr7	19509770	19514770	+	0.0154	77
ENSMUSG00000002052	chr11	78223866	78228866	-	0.0158	79
ENSMUSG00000002055	chr11	78309493	78314493	+	0.0102	51
ENSMUSG00000002057	chr11	78369567	78374567	-	0.0132	66
ENSMUSG00000002058	chr11	78343823	78348823	+	0.0156	78
ENSMUSG00000002059	chr11	78187811	78192811	+	0.0342	171
ENSMUSG00000002064	chr11	78248121	78253121	+	0.0088	44
ENSMUSG00000002068	chr7	38100259	38105259	-	0.0078	39
ENSMUSG00000002076	chr17	31987138	31992138	-	0.0078	39
ENSMUSG00000002083	chr7	16310799	16315799	+	0.0354	177
ENSMUSG00000002100	chr2	91124830	91129830	+	0.0112	56
ENSMUSG00000002102	chr2	91057689	91062689	+	0.0128	64
ENSMUSG00000002103	chr2	91205991	91210991	+	0.0084	42
ENSMUSG00000002104	chr2	91038174	91043174	+	0.0142	71
ENSMUSG00000002105	chr2	91063604	91068604	-	0.0132	66
ENSMUSG00000002107	chr2	7022128	7027128	-	0.0072	36
ENSMUSG00000002108	chr2	91190947	91195947	-	0.0152	76
ENSMUSG00000002109	chr2	91221777	91226777	-	0.0052	26
ENSMUSG00000002111	chr2	91096573	91101573	+	0.0166	83
ENSMUSG00000002129	chr11	4168945	4173945	+	0.0108	54
ENSMUSG00000002147	chr10	127649471	127654471	+	0.0144	72
ENSMUSG00000002190	chr8	83406709	83411709	+	0.0118	59
ENSMUSG00000002204	chr7	44577121	44582121	+	0.0116	58
ENSMUSG00000002205	chr7	44760464	44765464	+	0.01	50
ENSMUSG00000002210	chr7	24408698	24413698	+	0.0146	73
ENSMUSG00000002221	chr5	27763385	27768385	-	0.0074	37
ENSMUSG00000002222	chr6	71412135	71417135	-	0.0064	32
ENSMUSG00000002227	chr3	104804199	104809199	-	0.0128	64
ENSMUSG00000002228	chr3	104781037	104786037	+	0.0296	148
ENSMUSG00000002233	chr3	104788917	104793917	+	0.022	110
ENSMUSG00000002240	chr5	87833536	87838536	+	0.0052	26
ENSMUSG00000002249	chr17	28338738	28343738	-	0.0138	69
ENSMUSG00000002250	chr17	28264611	28269611	+	0.0196	98
ENSMUSG00000002257	chr17	28215693	28220693	+	0.0192	96
ENSMUSG00000002265	chr7	6714661	6719661	-	0.0066	33
ENSMUSG00000002266	chr7	6681359	6686359	-	0.0088	44
ENSMUSG00000002274	chr17	25793353	25798353	-	0.0292	146
ENSMUSG00000002279	chr17	25618500	25623500	+	0.0122	61
ENSMUSG00000002280	chr17	25776054	25781054	+	0.0176	88
ENSMUSG00000002289	chr17	33775162	33780162	-	0.0092	46
ENSMUSG00000002297	chr5	8407344	8412344	-	0.0064	32
ENSMUSG00000002307	chr17	33910001	33915001	+	0.0246	123
ENSMUSG00000002308	chr17	33843932	33848932	+	0.0112	56
ENSMUSG00000002319	chr14	55628178	55633178	-	0.0196	98
ENSMUSG00000002320	chr14	55637385	55642385	-	0.0182	91
ENSMUSG00000002324	chr14	55619216	55624216	+	0.0106	53
ENSMUSG00000002325	chr14	55604300	55609300	+	0.0158	79
ENSMUSG00000002326	chr14	55673070	55678070	+	0.007	35
ENSMUSG00000002329	chr14	55656693	55661693	-	0.0192	96
ENSMUSG00000002332	chr14	55739855	55744855	-	0.014	70
ENSMUSG00000002341	chr8	70104479	70109479	-	0.0116	58
ENSMUSG00000002342	chr8	70175518	70180518	+	0.0132	66
ENSMUSG00000002343	chr8	70224819	70229819	-	0.0084	42
ENSMUSG00000002345	chr8	70140909	70145909	+	0.0112	56
ENSMUSG00000002346	chr8	70195822	70200822	-	0.0068	34
ENSMUSG00000002365	chr17	5883680	5888680	+	0.0166	83
ENSMUSG00000002372	chr17	56689997	56694997	+	0.009	45
ENSMUSG00000002379	chr17	56718505	56723505	+	0.0124	62
ENSMUSG00000002384	chr4	123116132	123121132	+	0.0378	189
ENSMUSG00000002393	chr8	71375541	71380541	-	0.0262	131
ENSMUSG00000002395	chr8	71365790	71370790	+	0.0222	111
