ens_id	symbol	chr	start	end	strand
ENSMUSG00000078931	Pdf	chr8	107044698	107048614	-
ENSMUSG00000016520	Lnx2	chr5	147016655	147076586	-
ENSMUSG00000091594	Gm17067	chr7	42705469	42727017	-
ENSMUSG00000028455	Stoml2	chr4	43027690	43031710	-
ENSMUSG00000028412	Slc44a1	chr4	53440413	53622478	+
ENSMUSG00000032217	Rnf111	chr9	70425424	70503725	-
ENSMUSG00000031916	Cog8	chr8	107046289	107056689	-
ENSMUSG00000063480	Snu13	chr15	82041319	82047598	-
ENSMUSG00000021385	Ippk	chr13	49421249	49464573	+
ENSMUSG00000026798	Coq4	chr2	29787493	29797935	+
ENSMUSG00000027331	Knstrn	chr2	118814003	118853957	+
ENSMUSG00000033192	Lpcat2	chr8	92855339	92919279	+
ENSMUSG00000063804	Lin28b	chr10	45376620	45486395	-
ENSMUSG00000028378	Ptgr1	chr4	58965439	58987119	-
ENSMUSG00000004885	Crabp2	chr3	87948666	87953376	+
ENSMUSG00000033955	Tnks1bp1	chr2	85048022	85073048	+
ENSMUSG00000034235	Usp54	chr14	20548912	20641063	-
ENSMUSG00000081443	Gm3880	chrX	102686292	102686972	-
ENSMUSG00000021591	Glrx	chr13	75839868	75850154	+
ENSMUSG00000091926	Vmn2r62	chr7	42764438	42793496	-
ENSMUSG00000074966	Olfr1275	chr2	111230360	111235286	-
ENSMUSG00000023216	Epb42	chr2	121017891	121037072	-
ENSMUSG00000096276	Gm2042	chr12	87954080	87960683	+
ENSMUSG00000031860	Pbx4	chr8	69832491	69872292	+
ENSMUSG00000061458	Nol10	chr12	17348458	17430095	+
ENSMUSG00000054000	Tusc1	chr4	93334138	93335511	-
ENSMUSG00000042050	Wdr60	chr12	116206262	116263022	-
ENSMUSG00000038895	Zfp653	chr9	22055411	22071376	-
ENSMUSG00000029642	Polr1d	chr5	147077050	147111597	+
ENSMUSG00000028109	Hormad1	chr3	95559677	95587671	+
ENSMUSG00000048686	Hmgb4	chr4	128260212	128260957	-
ENSMUSG00000043411	Usp48	chr4	137593755	137658537	+
ENSMUSG00000028804	Csmd2	chr4	127987857	128567656	+
ENSMUSG00000059547	Fbxw26	chr9	109717566	109746089	-
ENSMUSG00000057406	Nsd2	chr5	33820725	33897975	+
ENSMUSG00000014599	Csf1	chr3	107741048	107760469	-
ENSMUSG00000037593	BC030499	chr11	78290841	78296805	+
ENSMUSG00000023964	Calcr	chr6	3685680	3764714	-
ENSMUSG00000029491	Pde6b	chr5	108388391	108432397	+
ENSMUSG00000042439	Zfp532	chr18	65580230	65689443	+
ENSMUSG00000025004	Cyp2c40	chr19	39767071	39812814	-
ENSMUSG00000111747	Olfr1134	chr2	87655673	87658460	-
ENSMUSG00000062826	Ces2f	chr8	104947356	104960047	+
ENSMUSG00000053129	Gsx1	chr5	147188696	147190947	+
ENSMUSG00000063844	Olfr1276	chr2	111254516	111262026	+
ENSMUSG00000006403	Adamts4	chr1	171250421	171260637	+
ENSMUSG00000050587	Lrrc4c	chr2	96318169	97631666	+
ENSMUSG00000032725	Folr2	chr7	101839988	101857194	-
ENSMUSG00000045508	Olfr1367	chr13	21346910	21347964	+
ENSMUSG00000029644	Pdx1	chr5	147269959	147275848	+
ENSMUSG00000111842	AC163623.1	chr9	22036380	22071259	-
ENSMUSG00000022136	Dnajc3	chr14	118937976	118981697	+
ENSMUSG00000003410	Elavl3	chr9	22015005	22052023	-
ENSMUSG00000075425	Gm13547	chr2	29759312	29764089	+
ENSMUSG00000049093	Il23r	chr6	67422932	67491855	-
ENSMUSG00000047759	Hs3st3a1	chr11	64435332	64522841	+
ENSMUSG00000058188	Olfr746	chr14	50647083	50654183	+
ENSMUSG00000024391	Apom	chr17	35128997	35132050	-
ENSMUSG00000090342	Vmn2r46	chr7	9754636	9770571	-
ENSMUSG00000078144	Capns2	chr8	92901407	92902411	+
ENSMUSG00000036721	Zscan12	chr13	21362820	21372289	+
ENSMUSG00000079479	Gm9112	chrX	102706890	102707635	-
ENSMUSG00000028218	Fam92a	chr4	12153409	12172015	-
ENSMUSG00000029646	Cdx2	chr5	147300805	147307270	-
ENSMUSG00000100726	Gm21497	chrY	61646746	61672861	+
ENSMUSG00000053565	Eif3k	chr7	28971372	28981864	-
ENSMUSG00000031458	Coprs	chr8	13884794	13890281	-
ENSMUSG00000039826	Trub2	chr2	29761224	29788502	-
ENSMUSG00000050930	Map10	chr8	125669818	125673359	+
ENSMUSG00000001305	Rrp15	chr1	186720978	186749358	-
ENSMUSG00000034913	Spert	chr14	75582877	75593116	-
ENSMUSG00000073027	Dmrtc1b	chrX	102707865	102715209	+
ENSMUSG00000095296	Gm8906	chr5	11502685	11507417	+
ENSMUSG00000021589	Rhobtb3	chr13	75869537	75943925	-
ENSMUSG00000059562	Ccdc154	chr17	25162461	25171913	+
ENSMUSG00000075543	Urad	chr5	147314984	147322440	-
ENSMUSG00000075153	Olfr1135	chr2	87669835	87673664	-
ENSMUSG00000059852	Kcng2	chr18	80294546	80364254	-
ENSMUSG00000074965	Olfr1277	chr2	111264946	111274106	-
ENSMUSG00000037953	A4gnt	chr9	99612502	99622367	+
ENSMUSG00000036114	Rpp25l	chr4	41712033	41713534	-
ENSMUSG00000013593	Ndufs2	chr1	171234853	171251388	-
ENSMUSG00000100708	Gm21173	chrY	76761600	76787729	+
ENSMUSG00000050335	Lgals3	chr14	47367751	47386160	+
ENSMUSG00000019139	Isyna1	chr8	70594373	70597290	+
ENSMUSG00000041440	Gk5	chr9	96119362	96184608	+
ENSMUSG00000029163	Emilin1	chr5	30913402	30921277	+
ENSMUSG00000032691	Nlrp3	chr11	59541568	59566956	+
ENSMUSG00000042817	Flt3	chr5	147330741	147400489	-
ENSMUSG00000047804	Akap10	chr11	61871307	61930252	-
ENSMUSG00000037652	Phc3	chr3	30899371	30969415	-
ENSMUSG00000035234	Abraxas1	chr5	100805192	100820965	-
ENSMUSG00000038683	Pak1ip1	chr13	41001023	41013015	+
ENSMUSG00000031182	4930447F04Rik	chrX	66303361	66304224	-
ENSMUSG00000092225	Gm2381	chr7	42816829	42867234	-
ENSMUSG00000015709	Arnt2	chr7	84246278	84410176	-
ENSMUSG00000018921	Pelp1	chr11	70392883	70410031	-
ENSMUSG00000042032	Mat2b	chr11	40679314	40695203	-
ENSMUSG00000039224	D1Pas1	chr1	186967416	186970627	+
ENSMUSG00000038822	Hace1	chr10	45577829	45712345	+
ENSMUSG00000011096	Akt1s1	chr7	44848991	44855421	+
ENSMUSG00000073006	Gm732	chrX	107945735	107948465	-
ENSMUSG00000034401	Spata6	chr4	111719984	111829184	+
ENSMUSG00000036790	Slitrk2	chrX	66649318	66661393	+
ENSMUSG00000042502	Cd2bp2	chr7	127191660	127196050	-
ENSMUSG00000052221	Ppp1r36	chr12	76417538	76439492	+
ENSMUSG00000003929	Zfp81	chr17	33329342	33358878	-
ENSMUSG00000041164	Zmiz2	chr11	6389074	6406158	+
ENSMUSG00000068551	Zfp467	chr6	48427697	48445825	-
ENSMUSG00000090751	Vmn2r63	chr7	42903251	42933789	-
ENSMUSG00000034781	Gna11	chr10	81528724	81545190	-
ENSMUSG00000035201	B020004J07Rik	chr4	101834969	101844023	-
ENSMUSG00000015083	C8g	chr2	25498651	25501719	-
ENSMUSG00000047714	Ppp1r2	chr16	31251537	31275277	-
ENSMUSG00000035735	Dagla	chr19	10245265	10304877	-
ENSMUSG00000036251	Trpm8	chr1	88277661	88389293	+
ENSMUSG00000040969	Arhgef38	chr3	133112278	133234949	-
ENSMUSG00000055109	Gm15155	chrX	155624741	156345887	+
ENSMUSG00000004891	Nes	chr3	87971078	87980451	+
ENSMUSG00000041439	Mfsd6	chr1	52656286	52727462	-
ENSMUSG00000050912	Tmem123	chr9	7764041	7794333	+
ENSMUSG00000052563	D930048N14Rik	chr11	51650954	51657681	+
ENSMUSG00000021360	Gcnt2	chr13	40859754	40960892	+
ENSMUSG00000091528	Gm9268	chr7	43018798	43048106	+
ENSMUSG00000032078	Zpr1	chr9	46273064	46282643	+
ENSMUSG00000031302	Nlgn3	chrX	101299168	101325963	+
ENSMUSG00000001053	N4bp3	chr11	51643063	51650842	-
ENSMUSG00000046133	C130073F10Rik	chr4	101890020	101893789	-
ENSMUSG00000030084	Plxna1	chr6	89316314	89362620	-
ENSMUSG00000038520	Tbc1d17	chr7	44834623	44849079	-
ENSMUSG00000050526	4933406M09Rik	chr1	134385940	134390981	+
ENSMUSG00000026502	Desi2	chr1	178187417	178257301	+
ENSMUSG00000036534	Slc38a7	chr8	95835920	95853539	-
ENSMUSG00000057179	Olfr747	chr14	50680657	50693206	-
ENSMUSG00000004892	Bcan	chr3	87987531	88000230	-
ENSMUSG00000071203	Naip5	chr13	100211739	100246323	-
ENSMUSG00000030838	Ush1c	chr7	46195350	46238503	-
ENSMUSG00000037754	Ppp1r16b	chr2	158665398	158766334	+
ENSMUSG00000038991	Txndc5	chr13	38500079	38528824	-
ENSMUSG00000024500	Ppp2r2b	chr18	42637432	43059471	-
ENSMUSG00000069135	Fgfr1op	chr17	8165501	8196804	+
ENSMUSG00000074006	Omp	chr7	98143359	98145502	-
ENSMUSG00000035547	Capn5	chr7	98121559	98178274	-
ENSMUSG00000051397	Tacstd2	chr6	67534062	67535796	-
ENSMUSG00000033502	Cdc14a	chr3	116272553	116424032	-
ENSMUSG00000031851	Ntpcr	chr8	125729963	125748235	+
ENSMUSG00000002930	Ppp1r17	chr6	56017497	56032689	+
ENSMUSG00000073914	Olfr677	chr7	105051372	105059006	+
ENSMUSG00000029647	Pan3	chr5	147430161	147548502	+
ENSMUSG00000079465	Col4a3	chr1	82586921	82722059	+
ENSMUSG00000015095	Fbxw5	chr2	25500750	25505471	+
ENSMUSG00000092618	Btnl6	chr17	34507804	34517352	-
ENSMUSG00000022665	Ccdc80	chr16	45093402	45127924	+
ENSMUSG00000091531	Olfr102	chr17	37311795	37317054	-
ENSMUSG00000073000	Gm10451	chr12	76444497	76451336	+
ENSMUSG00000053783	1700016K19Rik	chr11	75999912	76003569	+
ENSMUSG00000020260	Pofut2	chr10	77259218	77269575	+
ENSMUSG00000029669	Tspan12	chr6	21771395	21852515	-
ENSMUSG00000026817	Ak1	chr2	32621758	32635058	+
ENSMUSG00000040537	Adam22	chr5	8072352	8368160	-
ENSMUSG00000007944	Ttc9b	chr7	27653915	27657346	+
ENSMUSG00000028360	Slc44a5	chr3	153973436	154271722	+
ENSMUSG00000030001	Figla	chr6	86016171	86020996	+
ENSMUSG00000056222	Spock1	chr13	57421195	57908332	-
ENSMUSG00000022216	Psme1	chr14	55578123	55581529	+
ENSMUSG00000040390	Map3k10	chr7	27656375	27674598	-
ENSMUSG00000055240	Zfp101	chr17	33360507	33394641	-
ENSMUSG00000014349	Ube2z	chr11	96047432	96065388	-
ENSMUSG00000084128	Esrp2	chr8	106130319	106136974	-
ENSMUSG00000073913	Olfr678	chr7	105064475	105071639	+
ENSMUSG00000034361	Cpne2	chr8	94532990	94570531	+
ENSMUSG00000021779	Thrb	chr14	17660261	18038090	+
ENSMUSG00000038235	F11r	chr1	171437535	171464603	+
ENSMUSG00000021318	Gli3	chr13	15463235	15730026	+
ENSMUSG00000017499	Cdc6	chr11	98907801	98923940	+
ENSMUSG00000037996	Slc24a2	chr4	86983124	87230477	-
ENSMUSG00000035473	Galm	chr17	80127471	80185101	+
ENSMUSG00000109511	Nup62	chr7	44816088	44830812	+
ENSMUSG00000029228	Lnx1	chr5	74592447	74702912	-
ENSMUSG00000078444	Gm10941	chr10	77257776	77259223	-
ENSMUSG00000011427	Zfp790	chr7	29816114	29831005	+
ENSMUSG00000074397	Foxr1	chr9	44433773	44441136	-
ENSMUSG00000029363	Rfc5	chr5	117378103	117389047	-
ENSMUSG00000032497	Lrrfip2	chr9	111117592	111225668	+
ENSMUSG00000032606	Nicn1	chr9	108290429	108296498	+
ENSMUSG00000033323	Ctdp1	chr18	80407959	80469695	-
ENSMUSG00000074754	Smim26	chr2	144594054	144595366	+
ENSMUSG00000026150	Mff	chr1	82724890	82752394	+
ENSMUSG00000038539	Atf5	chr7	44812256	44816658	-
ENSMUSG00000022037	Clu	chr14	65968483	65981547	+
ENSMUSG00000045216	Hs6st1	chr1	36068400	36106446	+
ENSMUSG00000083193	4930595D18Rik	chr12	111159850	111184491	-
ENSMUSG00000075040	Zfp408	chr2	91643669	91649791	-
ENSMUSG00000040022	Rab11fip2	chr19	59902884	59943654	-
ENSMUSG00000021277	Traf3	chr12	111166370	111267153	+
ENSMUSG00000034636	Zyg11b	chr4	108229724	108301096	-
ENSMUSG00000047417	Rexo1	chr10	80540922	80561560	-
ENSMUSG00000032551	1110059G10Rik	chr9	122945089	122951000	-
ENSMUSG00000031902	Nfatc3	chr8	106058840	106130537	+
ENSMUSG00000025221	Kcnip2	chr19	45791839	45816061	-
ENSMUSG00000068647	Olfr1278	chr2	111290136	111298886	+
ENSMUSG00000032110	Acrv1	chr9	36693220	36698843	+
ENSMUSG00000006542	Prkag3	chr1	74738922	74749221	-
ENSMUSG00000074141	Il4i1	chr7	44816387	44840809	+
ENSMUSG00000094651	Gal3st2	chr1	93861306	93876494	+
ENSMUSG00000028541	B4galt2	chr4	117869260	117883487	-
ENSMUSG00000075512	Gm1587	chr14	77793945	77798968	-
ENSMUSG00000029364	Wsb2	chr5	117357304	117378601	+
ENSMUSG00000104614	Fbxw27	chr9	109766045	109790670	-
ENSMUSG00000025584	Pde8a	chr7	81213596	81334533	+
ENSMUSG00000039270	Megf9	chr4	70427065	70534995	-
ENSMUSG00000061759	Armt1	chr10	4432467	4455141	+
ENSMUSG00000042248	Cyp2c37	chr19	39992424	40012243	+
ENSMUSG00000046589	Lrrc8e	chr8	4226827	4237470	+
ENSMUSG00000002524	Puf60	chr15	76070185	76080913	-
ENSMUSG00000060084	Olfr748	chr14	50707373	50713797	+
ENSMUSG00000050844	1700020N01Rik	chr10	21593145	21622376	+
ENSMUSG00000037805	Rpl10a	chr17	28328471	28331032	+
ENSMUSG00000026976	Pax8	chr2	24420560	24475599	-
ENSMUSG00000059069	Olfr749	chr14	50736171	50745094	-
ENSMUSG00000026857	Ntmt1	chr2	30807826	30823033	+
ENSMUSG00000094821	Gm21518	chrY	62190866	62217137	+
ENSMUSG00000079578	Gm1140	chrX	67682900	67693562	-
ENSMUSG00000021794	Glud1	chr14	34310727	34345265	+
ENSMUSG00000041189	Chrnb1	chr11	69784036	69795943	-
ENSMUSG00000096029	Olfr679	chr7	105081205	105090642	+
ENSMUSG00000078784	1810022K09Rik	chr3	14606284	14611285	-
ENSMUSG00000022013	Dnajc15	chr14	77820681	77875125	-
ENSMUSG00000036918	Ttc7	chr17	87282886	87381769	+
ENSMUSG00000035653	Lrfn5	chr12	61523150	61858342	+
ENSMUSG00000045350	Fam186a	chr15	99918348	99967075	-
ENSMUSG00000095074	Gm3139	chr5	94526287	94546423	+
ENSMUSG00000002055	Spag5	chr11	78301529	78322457	+
ENSMUSG00000074881	Mageb3	chr2	121953752	121956092	-
ENSMUSG00000033411	Ctdspl2	chr2	121956001	122013642	+
ENSMUSG00000020027	Socs2	chr10	95385362	95417180	-
ENSMUSG00000095503	Gm3147	chr5	94612069	94616342	-
ENSMUSG00000085584	Rtl9	chrX	143099594	143104297	+
ENSMUSG00000020790	Ankfy1	chr11	72690006	72772146	+
ENSMUSG00000061947	Serpina10	chr12	103614786	103631444	-
ENSMUSG00000015501	Hivep2	chr10	13966075	14151374	+
ENSMUSG00000079577	Gm14692	chrX	67695698	67706350	+
ENSMUSG00000022312	Eif3h	chr15	51786558	51865523	-
ENSMUSG00000025333	Gpr143	chrX	152781921	152808646	+
ENSMUSG00000021671	Poc5	chr13	96388294	96417737	+
ENSMUSG00000075151	Olfr1136	chr2	87692881	87693947	-
ENSMUSG00000027552	E2f5	chr3	14578641	14606309	+
ENSMUSG00000031283	Chrdl1	chrX	143285674	143394262	-
ENSMUSG00000029095	Ablim2	chr5	35757880	35884973	+
ENSMUSG00000057457	Phex	chrX	157162075	157415312	-
ENSMUSG00000054827	Cyp2c50	chr19	40089688	40113950	+
ENSMUSG00000075150	Olfr1137	chr2	87708873	87713179	-
ENSMUSG00000048938	Nr1h5	chr3	102939658	102964133	-
ENSMUSG00000026573	Xcl1	chr1	164931644	164935527	-
ENSMUSG00000039004	Bmp6	chr13	38345107	38500302	+
ENSMUSG00000029314	Gpat3	chr5	100845713	100899102	+
ENSMUSG00000049618	Olfr103	chr17	37334303	37339698	-
ENSMUSG00000020273	Papolg	chr11	23862646	23895253	-
ENSMUSG00000022548	Apod	chr16	31296192	31314808	-
ENSMUSG00000026368	F13b	chr1	139501702	139523752	+
ENSMUSG00000026574	Dpt	chr1	164796644	164824266	+
ENSMUSG00000032548	Slco2a1	chr9	102988712	103096002	+
ENSMUSG00000042631	Xkr7	chr2	153031852	153055775	+
ENSMUSG00000050702	4930563M21Rik	chr9	55962589	56010550	-
ENSMUSG00000050855	Zfp940	chr7	29833620	29853669	-
ENSMUSG00000048728	Zfp454	chr11	50872720	50887651	-
ENSMUSG00000050856	Atp5k	chr5	108433244	108434448	-
ENSMUSG00000028542	Slc6a9	chr4	117834506	117875198	+
ENSMUSG00000032607	Amt	chr9	108296853	108302302	+
ENSMUSG00000000440	Pparg	chr6	115360951	115490399	+
ENSMUSG00000031148	Gpkow	chrX	7697131	7710262	+
ENSMUSG00000099729	Scgb2b11	chr7	32209173	32211145	-
ENSMUSG00000037028	Gm12800	chr4	101909121	101911908	+
ENSMUSG00000029664	Tfpi2	chr6	3962595	3988919	-
ENSMUSG00000022217	Emc9	chr14	55581516	55585302	-
ENSMUSG00000020846	Rflnb	chr11	76019194	76027782	-
ENSMUSG00000032807	Alox12b	chr11	69156989	69169792	+
ENSMUSG00000101638	Scgb1b11	chr7	32222840	32224156	+
ENSMUSG00000047117	Ankdd1b	chr13	96416134	96471198	-
ENSMUSG00000027474	Ccm2l	chr2	153065955	153081735	+
ENSMUSG00000029111	Nelfa	chr5	33897916	33936413	-
ENSMUSG00000071738	Cldn34b3	chrX	76264304	76267738	+
ENSMUSG00000031103	Elf4	chrX	48411046	48463132	-
ENSMUSG00000020484	Xbp1	chr11	5520659	5525893	+
ENSMUSG00000070890	Gm12794	chr4	101940407	101943183	+
ENSMUSG00000095293	Gm10058	chrX	27924017	27946885	-
ENSMUSG00000026384	Ptpn4	chr1	119652467	119837613	-
ENSMUSG00000095172	Gm20822	chrY	15882421	15884771	-
ENSMUSG00000049502	Dtx3l	chr16	35926511	35939151	-
ENSMUSG00000022014	Epsti1	chr14	77904239	78002657	+
ENSMUSG00000026611	Spata17	chr1	187044648	187215465	-
ENSMUSG00000078626	Gm12790	chr4	101967453	101981049	-
ENSMUSG00000091903	Gm6460	chr5	11594913	11599784	+
ENSMUSG00000029162	Khk	chr5	30921431	30931248	+
ENSMUSG00000039934	Gsap	chr5	21186255	21315132	+
ENSMUSG00000025288	4933436I01Rik	chrX	67919864	67921450	-
ENSMUSG00000044006	Cilp2	chr8	69880369	69887687	-
ENSMUSG00000054452	Aes	chr10	81559488	81566362	+
ENSMUSG00000024392	Bag6	chr17	35135178	35147322	+
ENSMUSG00000021013	Ttc8	chr12	98920574	98983238	+
ENSMUSG00000092519	Actl9	chr17	33432896	33434268	+
ENSMUSG00000057367	Birc2	chr9	7818227	7837064	-
ENSMUSG00000021311	Mtr	chr13	12182712	12258113	-
ENSMUSG00000015127	Unkl	chr17	25188397	25234443	+
ENSMUSG00000022906	Parp9	chr16	35938470	35972605	+
ENSMUSG00000032179	Bmp5	chr9	75775364	75900310	+
ENSMUSG00000094195	Gm6509	chr5	94623979	94626848	+
ENSMUSG00000049657	Zbtb5	chr4	44991242	45012412	-
ENSMUSG00000033392	Clasp2	chr9	113741473	113919682	+
ENSMUSG00000048416	Mlf1	chr3	67374097	67400003	+
ENSMUSG00000078942	Naip6	chr13	100281121	100317674	-
ENSMUSG00000021287	Xrcc3	chr12	111803192	111813873	-
ENSMUSG00000097982	Scgb2b12	chr7	32325286	32327245	-
ENSMUSG00000006715	Gmnn	chr13	24751845	24761923	-
ENSMUSG00000090273	Prr22	chr17	56770250	56772208	+
ENSMUSG00000007908	Hmgcll1	chr9	76014855	76136350	+
ENSMUSG00000025969	Nrp2	chr1	62703285	62818695	+
ENSMUSG00000031682	1700011L22Rik	chr8	79210431	79248570	-
ENSMUSG00000038280	Ostm1	chr10	42583822	42702459	+
ENSMUSG00000046196	Ttc39d	chr17	80207460	80217936	+
ENSMUSG00000079435	Rpl36a	chrX	134585654	134588062	+
ENSMUSG00000021494	Ddx41	chr13	55530410	55536658	-
ENSMUSG00000021973	Micu2	chr14	57916261	57999262	-
ENSMUSG00000055760	Gemin6	chr17	80224441	80228497	+
ENSMUSG00000043602	Zfp3	chr11	70764209	70772928	+
ENSMUSG00000027430	Dtd1	chr2	144599897	144768758	+
ENSMUSG00000101520	Scgb1b12	chr7	32334182	32335501	+
ENSMUSG00000109061	Map2k7	chr8	4238865	4251423	+
ENSMUSG00000021288	Klc1	chr12	111758849	111807844	+
ENSMUSG00000035640	Cbarp	chr10	80130451	80140835	-
ENSMUSG00000089736	Tgfbr3l	chr8	4248214	4251423	+
ENSMUSG00000066141	Gm11232	chr4	71755643	71757965	-
ENSMUSG00000028911	Srsf4	chr4	131873617	131901706	+
ENSMUSG00000032320	Rcn2	chr9	56041845	56061882	+
ENSMUSG00000045257	Morn2	chr17	80290203	80297476	+
ENSMUSG00000046516	Cox17	chr16	38346991	38352763	+
ENSMUSG00000029227	Fip1l1	chr5	74535449	74598800	+
ENSMUSG00000032310	Cyp1a2	chr9	57676937	57683703	-
ENSMUSG00000002948	Map2k7	chr8	4238740	4247897	+
ENSMUSG00000019785	Clvs2	chr10	33512286	33624769	-
ENSMUSG00000032113	Chek1	chr9	36708482	36727065	-
ENSMUSG00000025521	Tmem192	chr8	64947185	64969033	+
ENSMUSG00000029648	Flt1	chr5	147561604	147726011	-
ENSMUSG00000022664	Slc35a5	chr16	45139573	45158706	-
ENSMUSG00000024207	Acsbg2	chr17	56843103	56874447	-
ENSMUSG00000032384	Csnk1g1	chr9	65908924	66045015	+
ENSMUSG00000063779	Chil4	chr3	106201490	106219507	-
ENSMUSG00000075149	Olfr1138	chr2	87736747	87739978	-
ENSMUSG00000022803	Popdc2	chr16	38362209	38378216	+
ENSMUSG00000006057	Atp5g1	chr11	96068852	96075670	-
ENSMUSG00000068817	Olfr1140	chr2	87743752	87747581	+
ENSMUSG00000042650	Alkbh5	chr11	60536381	60558512	+
ENSMUSG00000029202	Pds5a	chr5	65605721	65698273	-
ENSMUSG00000063188	Olfr107	chr17	37399226	37407477	+
ENSMUSG00000092345	Gm20503	chr4	59003210	59041888	+
ENSMUSG00000038607	Gng10	chr4	59035088	59041903	+
ENSMUSG00000037470	Uggt1	chr1	36140027	36244720	-
ENSMUSG00000022905	Kpna1	chr16	35978750	36037131	+
ENSMUSG00000024566	Atp9b	chr18	80734141	80934058	-
ENSMUSG00000078185	Chml	chr1	175682237	175692901	-
ENSMUSG00000094105	Gm8922	chr5	11681959	11686856	+
ENSMUSG00000029832	Nfe2l3	chr6	51432670	51458768	+
ENSMUSG00000060807	Serpina6	chr12	103646630	103657212	-
ENSMUSG00000095464	Gm21987	chr16	38347040	38362297	+
ENSMUSG00000040809	Chil3	chr3	106147554	106167564	-
ENSMUSG00000070972	Dnajc25	chr4	58995062	59025573	+
ENSMUSG00000060459	Kng2	chr16	22985854	23029101	-
ENSMUSG00000026525	Opn3	chr1	175662421	175692776	-
ENSMUSG00000041782	Lad1	chr1	135818598	135833342	+
ENSMUSG00000067215	Usp51	chrX	153006469	153009416	+
ENSMUSG00000033021	Gmppa	chr1	75435930	75443179	+
ENSMUSG00000022119	Rbm26	chr14	105106751	105177327	-
ENSMUSG00000009646	Pla2g12b	chr10	59403660	59421976	+
ENSMUSG00000009566	Fpgs	chr2	32682609	32704145	-
ENSMUSG00000022838	Eaf2	chr16	36792884	36875003	-
ENSMUSG00000035805	Mlc1	chr15	88955884	88979007	-
ENSMUSG00000033623	Pcgf3	chr5	108461232	108506976	+
ENSMUSG00000022579	Gpihbp1	chr15	75596628	75599481	+
ENSMUSG00000047238	Mageh1	chrX	153036166	153037575	-
