pk_pos	gene
chr5-119927804-119928697	ENSMUSG00000001510
chr5-119948173-119949068	ENSMUSG00000001510
chr8-70072258-70073125	ENSMUSG00000001518
chr15-12188619-12188949	ENSMUSG00000001524
chr15-12490675-12491472	ENSMUSG00000001525
chr15-12515244-12516148	ENSMUSG00000001525
chr15-12518069-12519000	ENSMUSG00000001525
chr13-15615397-15616313	ENSMUSG00000001576
chr13-15631240-15632159	ENSMUSG00000001576
chr16-28556429-28557267	ENSMUSG00000001627
chr16-28949505-28950388	ENSMUSG00000001627
chr16-29467028-29467890	ENSMUSG00000001627
chr16-29725248-29726082	ENSMUSG00000001627
chr6-124427124-124427688	ENSMUSG00000001661
chr4-104956480-104957391	ENSMUSG00000001741
chr2-4208922-4209715	ENSMUSG00000001823
chr2-42458268-42459129	ENSMUSG00000001823
chr2-42893647-42894568	ENSMUSG00000001823
chr2-42897268-42898140	ENSMUSG00000001823
chr14-12427860-12428748	ENSMUSG00000001855
chr14-12454907-12455804	ENSMUSG00000001855
chr16-6390248-6391157	ENSMUSG00000001986
chr8-45109173-45110007	ENSMUSG00000001999
chr8-45125412-45126333	ENSMUSG00000001999
chr2-28483535-28484297	ENSMUSG00000002015
chr2-28577799-28578614	ENSMUSG00000002015
chr2-61113500-61114403	ENSMUSG00000002017
chr2-61118377-61119272	ENSMUSG00000002017
chr2-61711239-61712138	ENSMUSG00000002017
chr17-55969230-55970080	ENSMUSG00000002033
chr3-136182607-136183484	ENSMUSG00000002058
chr3-136508325-136509220	ENSMUSG00000002058
chr3-137610930-137611825	ENSMUSG00000002058
chr3-129918156-129919069	ENSMUSG00000002059
chr3-129970592-129971500	ENSMUSG00000002059
chr3-130020164-130020812	ENSMUSG00000002059
chr3-130180157-130181095	ENSMUSG00000002059
chr17-50628462-50629345	ENSMUSG00000002204
chr17-50873799-50874714	ENSMUSG00000002204
chr17-5089352-5090227	ENSMUSG00000002204
chr17-5110699-5111628	ENSMUSG00000002204
chr13-28974311-28975226	ENSMUSG00000002221
chr13-29014833-29015614	ENSMUSG00000002221
chr13-29043117-29044007	ENSMUSG00000002221
chr6-140888432-140889322	ENSMUSG00000002227
chr6-139655306-139656117	ENSMUSG00000002228
chr6-140162971-140163822	ENSMUSG00000002228
chr6-140766098-140766997	ENSMUSG00000002228
chr19-47261040-47261905	ENSMUSG00000002332
chr19-47317242-47318154	ENSMUSG00000002332
chr2-126787595-126788524	ENSMUSG00000002341
chr2-127166016-127166903	ENSMUSG00000002342
chr2-127467218-127468081	ENSMUSG00000002343
chr2-127207843-127208762	ENSMUSG00000002346
chr2-127269927-127270688	ENSMUSG00000002346
chr2-127462088-127462972	ENSMUSG00000002346
chr19-55419736-55420614	ENSMUSG00000002372
chr8-121212941-121213863	ENSMUSG00000002384
chr2-147279543-147280297	ENSMUSG00000002393
chr2-14860000-14860857	ENSMUSG00000002393
chr16-24941085-24941951	ENSMUSG00000002565
chr16-24992258-24993158	ENSMUSG00000002565
chr13-110127544-110128370	ENSMUSG00000002602
chr13-110334715-110335597	ENSMUSG00000002602
chr13-110444510-110445281	ENSMUSG00000002602
chr13-110637407-110638284	ENSMUSG00000002602
chr13-110692508-110693405	ENSMUSG00000002602
chr13-42917803-42918676	ENSMUSG00000002633
chr3-51169997-51170886	ENSMUSG00000002679
chr3-51284214-51285032	ENSMUSG00000002679
chr17-86087667-86088429	ENSMUSG00000002763
chr17-86150621-86151536	ENSMUSG00000002763
chr7-112883534-112884444	ENSMUSG00000002799
chr7-112903526-112904132	ENSMUSG00000002799
chr1-181356645-181357519	ENSMUSG00000002812
chr1-181445803-181446360	ENSMUSG00000002812
chr1-181561806-181562628	ENSMUSG00000002812
chr19-53888939-53889872	ENSMUSG00000002831
chr15-93227325-93228036	ENSMUSG00000002844
chr15-95193693-95194309	ENSMUSG00000002844
chr2-169928306-169929117	ENSMUSG00000003033
chr16-18172280-18173098	ENSMUSG00000003053
chr16-18234641-18235567	ENSMUSG00000003053
chr19-53394305-53395226	ENSMUSG00000003200
chr12-15459029-15459870	ENSMUSG00000003234
chr12-15461799-15462282	ENSMUSG00000003234
chr12-15511877-15512707	ENSMUSG00000003234
chr12-91518370-91519182	ENSMUSG00000003379
chr12-91549243-91550153	ENSMUSG00000003379
chr12-91551675-91552603	ENSMUSG00000003379
chr12-91562425-91563343	ENSMUSG00000003379
chr15-12451318-12452066	ENSMUSG00000003541
chr2-12828771-12829692	ENSMUSG00000003573
chr2-128309744-128310624	ENSMUSG00000003573
chr12-13056010-13056927	ENSMUSG00000003617
chr14-75983815-75984631	ENSMUSG00000003778
chr14-76657181-76657819	ENSMUSG00000003778
chr17-62414899-62415793	ENSMUSG00000003865
chr10-37275248-37276007	ENSMUSG00000004054
chr10-39256897-39257688	ENSMUSG00000004054
chr10-4046201-4047138	ENSMUSG00000004054
chr13-26987663-26988441	ENSMUSG00000004056
chr1-183246874-183247745	ENSMUSG00000004319
chr1-183296671-183297598	ENSMUSG00000004319
chr1-18386227-18387127	ENSMUSG00000004319
chr1-183913894-183914798	ENSMUSG00000004319
chr1-184771360-184772274	ENSMUSG00000004319
chr4-59187014-59187808	ENSMUSG00000004359
chr10-14947820-14948479	ENSMUSG00000004371
chr10-16993709-16994449	ENSMUSG00000004371
chr12-107250735-107251444	ENSMUSG00000004542
chr17-47822674-47823493	ENSMUSG00000004609
chr17-47889024-47889848	ENSMUSG00000004609
chr17-47896843-47897650	ENSMUSG00000004609
chr17-48192414-48193264	ENSMUSG00000004609
chr17-46460574-46461428	ENSMUSG00000004612
chr17-46673916-46674825	ENSMUSG00000004612
chr10-117586792-117587567	ENSMUSG00000004630
chr14-85814618-85815508	ENSMUSG00000004698
chr4-132582976-132583902	ENSMUSG00000004791
chr4-133103208-133104020	ENSMUSG00000004791
chr4-133170338-133171196	ENSMUSG00000004791
chr4-133277312-133278172	ENSMUSG00000004791
chr1-63372852-63373773	ENSMUSG00000004843
chr1-63422695-63423584	ENSMUSG00000004843
chr1-63470245-63471102	ENSMUSG00000004843
chr4-53631096-53631946	ENSMUSG00000004896
chr18-87120989-87121883	ENSMUSG00000004980
chr18-87911508-87912409	ENSMUSG00000004980
chr4-117604813-117605708	ENSMUSG00000004994
chr4-118121998-118122869	ENSMUSG00000004994
chr4-118543153-118544104	ENSMUSG00000004994
chr4-118612316-118613195	ENSMUSG00000004994
chr4-118667020-118667942	ENSMUSG00000004994
chr6-121043759-121044687	ENSMUSG00000005087
chr6-121412629-121413343	ENSMUSG00000005087
chr7-49425741-49426645	ENSMUSG00000005102
chr2-125301949-125302698	ENSMUSG00000005198
chr2-11853310-11854208	ENSMUSG00000005232
chr2-57832328-57833177	ENSMUSG00000005413
chr2-57905043-57905895	ENSMUSG00000005413
chr4-107476097-107476995	ENSMUSG00000005470
chr9-107448579-107449509	ENSMUSG00000005514
chr7-100815942-100816610	ENSMUSG00000005611
chr7-100855721-100856434	ENSMUSG00000005611
chr17-17396692-17397577	ENSMUSG00000005696
chr17-17402298-17403190	ENSMUSG00000005696
chr17-17485966-17486825	ENSMUSG00000005696
chr10-12857962-12858653	ENSMUSG00000005718
chr9-94907685-94908589	ENSMUSG00000005763
chr9-95070908-95071841	ENSMUSG00000005763
chr10-66908924-66909839	ENSMUSG00000005800
chr10-66937633-66938501	ENSMUSG00000005800
chr10-66973599-66974511	ENSMUSG00000005800
chr10-66994720-66995419	ENSMUSG00000005800
chr5-116303418-116304263	ENSMUSG00000005968
chr10-121504916-121505801	ENSMUSG00000005981
chr10-121664329-121665122	ENSMUSG00000005981
chr15-44678812-44679733	ENSMUSG00000006050
chr15-44683201-44684134	ENSMUSG00000006050
chr15-44702901-44703768	ENSMUSG00000006050
chr5-132630541-132631469	ENSMUSG00000006056
chr5-132802984-132803620	ENSMUSG00000006056
chr5-132828856-132829733	ENSMUSG00000006056
chr5-133398633-133399531	ENSMUSG00000006056
chr2-170132984-170133838	ENSMUSG00000006276
chr18-78488450-78489329	ENSMUSG00000006288
chr2-33584850-33585757	ENSMUSG00000006299
chr2-33592662-33593534	ENSMUSG00000006299
chr2-33658905-33659795	ENSMUSG00000006299
chr13-80612945-80613565	ENSMUSG00000006311
chr13-80798998-80799871	ENSMUSG00000006311
chr13-81610020-81610887	ENSMUSG00000006311
chr13-85557544-85558439	ENSMUSG00000006315
chr13-89499292-89500116	ENSMUSG00000006315
chr13-89539030-89539953	ENSMUSG00000006315
chr2-61764258-61765082	ENSMUSG00000006344
chr2-61806828-61807765	ENSMUSG00000006344
chr7-113718693-113719580	ENSMUSG00000006356
chr7-113746201-113747089	ENSMUSG00000006356
chr7-113765635-113766520	ENSMUSG00000006356
chr4-133442740-133443573	ENSMUSG00000006369
chr4-133457900-133458742	ENSMUSG00000006369
chr15-41461265-41462124	ENSMUSG00000006373
chr15-41476723-41477607	ENSMUSG00000006373
chr15-42319919-42320852	ENSMUSG00000006373
chr7-51831662-51832561	ENSMUSG00000006389
chr7-54842692-54843546	ENSMUSG00000006389
chr2-52036547-52037237	ENSMUSG00000006546
chr2-52984969-52985784	ENSMUSG00000006546
chr2-52999236-53000103	ENSMUSG00000006546
chr2-5304367-5305211	ENSMUSG00000006546
chr17-86460511-86461363	ENSMUSG00000006599
chr17-86618193-86618895	ENSMUSG00000006599
chr8-45068553-45069443	ENSMUSG00000006732
chr8-45109173-45110007	ENSMUSG00000006736
chr8-45125412-45126333	ENSMUSG00000006736
chr17-86087667-86088429	ENSMUSG00000006763
chr17-86150621-86151536	ENSMUSG00000006763
chr7-125845337-125846037	ENSMUSG00000006764
chr7-125846664-125847542	ENSMUSG00000006764
chr5-52190102-52190966	ENSMUSG00000006777
chr8-100193012-100193878	ENSMUSG00000006932
chr6-124522972-124523840	ENSMUSG00000007379
chr6-124856851-124857698	ENSMUSG00000007379
chr15-57877909-57878781	ENSMUSG00000007440
chr13-67427908-67428782	ENSMUSG00000007476
chr13-69236158-69237046	ENSMUSG00000007476
chr13-69509357-69510251	ENSMUSG00000007476
chr2-126360689-126361186	ENSMUSG00000007594
chr2-126457498-126458329	ENSMUSG00000007594
chr2-126618300-126619082	ENSMUSG00000007594
chr4-47905186-47905850	ENSMUSG00000007646
chr2-57301266-57302155	ENSMUSG00000007656
chr2-5730217-5731141	ENSMUSG00000007656
chr2-57378067-57379020	ENSMUSG00000007656
chr9-57831136-57832067	ENSMUSG00000007659
chr4-85347969-85348870	ENSMUSG00000007682
chr4-85362126-85362984	ENSMUSG00000007682
chr4-85391542-85392440	ENSMUSG00000007682
chr4-155624280-155625183	ENSMUSG00000007867
chr4-16847805-16848683	ENSMUSG00000007867
chr4-17261445-17262293	ENSMUSG00000007867
chr2-71253387-71254224	ENSMUSG00000007908
chr2-71304574-71305444	ENSMUSG00000007908
chr2-71610446-71611326	ENSMUSG00000007908
chr2-71703936-71704803	ENSMUSG00000007908
chr2-71707164-71708030	ENSMUSG00000007908
chr17-50246634-50247082	ENSMUSG00000008140
chr4-129640440-129641358	ENSMUSG00000008167
chr13-26496794-26497719	ENSMUSG00000008384
chr13-26503581-26504455	ENSMUSG00000008384
chr13-26517373-26518309	ENSMUSG00000008384
chr18-35675854-35676467	ENSMUSG00000008590
chr4-58500875-58501704	ENSMUSG00000008601
chr4-58980778-58981352	ENSMUSG00000008601
chr4-58986396-58987283	ENSMUSG00000008601
chr4-58980778-58981352	ENSMUSG00000008604
chr4-58986396-58987283	ENSMUSG00000008604
chr10-59166271-59167114	ENSMUSG00000008658
chr15-68961949-68962760	ENSMUSG00000009030
chr15-6921808-6922652	ENSMUSG00000009030
chr15-69274143-69274871	ENSMUSG00000009030
chr15-6934231-6935082	ENSMUSG00000009030
chr6-72723560-72724374	ENSMUSG00000009108
chr6-72779216-72779914	ENSMUSG00000009108
chr7-99889059-99889964	ENSMUSG00000009112
chr7-99895230-99896116	ENSMUSG00000009112
chr2-76328542-76329454	ENSMUSG00000009115
chr6-31675092-31675776	ENSMUSG00000009210
chr13-24104616-24105518	ENSMUSG00000009214
chr13-24182616-24183443	ENSMUSG00000009214
chr13-24199660-24200557	ENSMUSG00000009214
chr13-24201953-24202805	ENSMUSG00000009214
chr4-5348753-5349659	ENSMUSG00000009350
chr4-53488634-53489473	ENSMUSG00000009350
chr2-107997839-107998640	ENSMUSG00000009535
chr11-57727335-57728240	ENSMUSG00000009569
chr1-157765895-157766786	ENSMUSG00000009654
chr1-157904158-157904774	ENSMUSG00000009654
chr1-158220737-158221328	ENSMUSG00000009654
chr1-158271886-158272775	ENSMUSG00000009654
chr13-96951643-96952551	ENSMUSG00000009687
chr13-9713520-9714414	ENSMUSG00000009687
chr13-97281860-97282705	ENSMUSG00000009687
chr5-74591197-74592075	ENSMUSG00000009733
chr7-116632939-116633838	ENSMUSG00000009741
chr3-123793726-123794639	ENSMUSG00000009828
chr3-123797620-123798523	ENSMUSG00000009828
chr3-123806241-123807124	ENSMUSG00000009828
chr3-123982111-123982597	ENSMUSG00000009828
chr6-33391691-33392596	ENSMUSG00000009907
chr6-56558975-56559667	ENSMUSG00000010044
chr6-56714589-56715392	ENSMUSG00000010044
chr6-56732340-56733253	ENSMUSG00000010044
chr6-56732340-56733253	ENSMUSG00000010047
chr6-56714589-56715392	ENSMUSG00000010054
chr6-56732340-56733253	ENSMUSG00000010054
chr19-41071266-41072178	ENSMUSG00000010406
chr11-40473337-40474233	ENSMUSG00000010435
chr15-37577002-37577833	ENSMUSG00000010453
chr15-37736020-37736922	ENSMUSG00000010453
chr15-37844719-37845173	ENSMUSG00000010453
chr3-100727857-100728782	ENSMUSG00000010601
chr11-91310167-91310929	ENSMUSG00000010796
chr15-80004562-80005381	ENSMUSG00000011114
chr15-80548642-80549549	ENSMUSG00000011114
chr10-123876813-123877693	ENSMUSG00000011837
chr17-81015556-81016460	ENSMUSG00000012296
chr17-81132925-81133780	ENSMUSG00000012296
chr17-81178213-81178998	ENSMUSG00000012296
chr17-81319172-81320054	ENSMUSG00000012296
chr10-76170568-76171167	ENSMUSG00000012428
chr10-76397333-76398250	ENSMUSG00000012428
chr10-77627284-77628191	ENSMUSG00000012428
chr10-83604064-83604825	ENSMUSG00000012483
chr1-180428084-180428876	ENSMUSG00000012819
chr1-180460296-180461089	ENSMUSG00000012819
chr1-180517184-180518087	ENSMUSG00000012819
chr1-181149103-181149801	ENSMUSG00000012819
chr5-131510019-131510896	ENSMUSG00000013415
chr12-99220040-99220898	ENSMUSG00000013465
chr12-99229874-99230741	ENSMUSG00000013465
chr12-99236390-99237263	ENSMUSG00000013465
chr12-99246887-99247842	ENSMUSG00000013465
chr6-77578337-77579222	ENSMUSG00000013495
chr13-70329003-70329835	ENSMUSG00000013921
chr13-70335784-70336716	ENSMUSG00000013921
chr13-71068526-71069348	ENSMUSG00000013921
chr13-71224543-71225403	ENSMUSG00000013921
chr8-115766165-115767108	ENSMUSG00000013936
chr1-194839053-194839960	ENSMUSG00000014243
chr1-194879267-194880173	ENSMUSG00000014243
chr8-70633769-70634687	ENSMUSG00000014353
chr17-86460511-86461363	ENSMUSG00000014418
chr17-86618193-86618895	ENSMUSG00000014418
chr5-111754671-111755457	ENSMUSG00000014602
chr6-97551825-97552588	ENSMUSG00000014668
chr6-97577985-97578827	ENSMUSG00000014668
chr4-104984333-104985198	ENSMUSG00000014748
chr4-105030927-105031844	ENSMUSG00000014748
chr1-73588130-73589027	ENSMUSG00000015001
chr1-7359778-7360607	ENSMUSG00000015001
chr1-74053957-74054732	ENSMUSG00000015001
chr1-74219676-74220586	ENSMUSG00000015001
chr1-74791290-74792154	ENSMUSG00000015001
chr1-76200763-76201638	ENSMUSG00000015222
chr19-26977786-26978699	ENSMUSG00000015242
chr19-27076626-27077436	ENSMUSG00000015242
chr19-27094821-27095666	ENSMUSG00000015242
chr19-27161667-27162511	ENSMUSG00000015242
chr12-71072950-71073852	ENSMUSG00000015341
chr12-71217599-71218383	ENSMUSG00000015341
chr5-129520950-129521848	ENSMUSG00000015354
chr1-52647910-52648811	ENSMUSG00000015357
chr1-53060259-53061008	ENSMUSG00000015357
chr4-6010510-6011409	ENSMUSG00000015365
chr4-6065429-6066300	ENSMUSG00000015365
chr19-54248252-54249129	ENSMUSG00000015441
chr19-54259175-54259994	ENSMUSG00000015441
chr14-75882472-75883145	ENSMUSG00000015452
chr14-75968655-75969437	ENSMUSG00000015452
chr14-75309333-75310196	ENSMUSG00000015468
chr14-75968655-75969437	ENSMUSG00000015478
chr14-75983815-75984631	ENSMUSG00000015478
chr14-76657181-76657819	ENSMUSG00000015478
chr13-23738355-23739219	ENSMUSG00000015488
chr13-24048232-24048807	ENSMUSG00000015488
chr16-40234988-40235627	ENSMUSG00000015656
chr16-40271813-40272620	ENSMUSG00000015656
chr5-74813296-74814226	ENSMUSG00000015668
chr5-74880507-74881267	ENSMUSG00000015668
chr5-13125085-13125883	ENSMUSG00000015748
chr5-131260674-131261556	ENSMUSG00000015748
chr5-131372660-131373378	ENSMUSG00000015749
chr5-131457760-131458688	ENSMUSG00000015749
chr13-21012176-21013053	ENSMUSG00000015787
chr13-21240528-21241434	ENSMUSG00000015790
chr13-21242177-21243069	ENSMUSG00000015790
chr9-77511995-77512910	ENSMUSG00000015829
chr18-70872094-70872964	ENSMUSG00000015837
chr17-71131272-71132181	ENSMUSG00000015882
chr17-71778444-71779291	ENSMUSG00000015882
chr5-113771253-113772022	ENSMUSG00000015890
chr4-153615823-153616718	ENSMUSG00000016028
chr4-153899602-153900211	ENSMUSG00000016028
chr4-154531718-154532561	ENSMUSG00000016028
chrX-92710214-92711140	ENSMUSG00000016181
chr3-129835335-129835825	ENSMUSG00000016637
chr3-129918156-129919069	ENSMUSG00000016637
chr4-100978728-100979614	ENSMUSG00000016664
chr5-36399079-36399635	ENSMUSG00000017221
chr5-3647491-3648252	ENSMUSG00000017221
chr5-36606425-36607287	ENSMUSG00000017221
chr5-36695513-36696364	ENSMUSG00000017221
chr3-129835335-129835825	ENSMUSG00000017386
chr11-80508509-80509378	ENSMUSG00000017418
chr3-30260647-30261551	ENSMUSG00000017428
chr7-49981315-49982197	ENSMUSG00000017446
chr7-50220379-50221269	ENSMUSG00000017446
chr7-50372217-50373086	ENSMUSG00000017446
chr7-5037914-5038840	ENSMUSG00000017446
chr5-46072525-46073227	ENSMUSG00000017607
chr5-46150656-46151329	ENSMUSG00000017607
chr7-46013227-46014003	ENSMUSG00000017718
chr7-46100326-46101204	ENSMUSG00000017718
chr2-28839923-28840836	ENSMUSG00000017756
chr2-28945042-28945960	ENSMUSG00000017756
chr2-28970226-28971134	ENSMUSG00000017756
chr6-29079056-29079945	ENSMUSG00000017765
chr6-29198320-29199231	ENSMUSG00000017765
chr5-88490605-88491394	ENSMUSG00000017802
chr5-88542649-88543557	ENSMUSG00000017802
chr5-88587253-88588119	ENSMUSG00000017802
chr19-31141612-31142509	ENSMUSG00000017831
chr19-31262328-31263261	ENSMUSG00000017831
chr9-35030546-35031407	ENSMUSG00000018001
chr3-146267749-146268647	ENSMUSG00000018008
chr3-147080016-147080886	ENSMUSG00000018008
chr3-147177663-147178444	ENSMUSG00000018008
chr3-154082657-154083532	ENSMUSG00000018169
chr1-70442149-70443094	ENSMUSG00000018347
chr1-70810792-70811753	ENSMUSG00000018347
chr1-70907129-70908033	ENSMUSG00000018347
chr6-37207562-37208446	ENSMUSG00000018433
chr2-135855878-135856759	ENSMUSG00000018446
chr2-135863219-135864106	ENSMUSG00000018446
chr2-135957503-135958387	ENSMUSG00000018446
chr2-118730201-118731025	ENSMUSG00000018474
chr2-118731494-118732342	ENSMUSG00000018474
chr2-118749172-118750043	ENSMUSG00000018474
chr2-118775564-118776464	ENSMUSG00000018474
chr2-118789192-118789961	ENSMUSG00000018474
chr2-126151716-126152597	ENSMUSG00000018567
chr7-75141680-75142607	ENSMUSG00000018604
chr7-75146974-75147855	ENSMUSG00000018604
chr7-75253393-75254174	ENSMUSG00000018604
chr10-67896902-67897750	ENSMUSG00000018620
chr4-109170669-109171572	ENSMUSG00000018648
chr4-109476176-109477018	ENSMUSG00000018648
chr4-109574012-109574877	ENSMUSG00000018648
chr4-109576692-109577580	ENSMUSG00000018648
chr4-110351373-110352194	ENSMUSG00000018648
chr2-117381392-117381812	ENSMUSG00000018740
chr2-125301949-125302698	ENSMUSG00000018750
chr2-125378886-125379599	ENSMUSG00000018750
chr2-125402404-125403345	ENSMUSG00000018750
chr2-12329442-12330304	ENSMUSG00000018774
chr3-87082027-87082905	ENSMUSG00000018845
chr3-87407916-87408582	ENSMUSG00000018845
chr3-87838391-87839287	ENSMUSG00000018845
chr4-114534224-114535116	ENSMUSG00000018868
chr4-116053339-116054202	ENSMUSG00000018868
chr4-116408083-116408828	ENSMUSG00000018868
chr4-116607138-116608020	ENSMUSG00000018868
chr4-117201926-117202834	ENSMUSG00000018868
chr4-117210179-117211051	ENSMUSG00000018868
chr5-21029980-21030729	ENSMUSG00000018882
chr5-21247576-21248482	ENSMUSG00000018882
chr5-21496168-21497061	ENSMUSG00000018882
chr5-22611827-22612661	ENSMUSG00000018882
chr5-23535256-23536071	ENSMUSG00000018882
chr5-23645576-23646436	ENSMUSG00000018882
chr19-37509485-37510379	ENSMUSG00000018900
chr19-37584991-37585891	ENSMUSG00000018900
chr19-37713906-37714804	ENSMUSG00000018900
chr2-128863636-128864523	ENSMUSG00000018907
chr2-128979861-128980689	ENSMUSG00000018907
chr2-129056372-129057279	ENSMUSG00000018907
chr2-129166712-129167516	ENSMUSG00000018907
chr2-13011324-13012075	ENSMUSG00000018920
chr2-130397121-130398038	ENSMUSG00000018920
chr5-138091494-138092298	ENSMUSG00000018973
chr5-138137647-138138516	ENSMUSG00000018973
chr5-138170791-138171486	ENSMUSG00000018973
chr9-111534605-111535491	ENSMUSG00000018983
chr9-111704048-111704984	ENSMUSG00000018983
chr5-149450835-149451701	ENSMUSG00000018995
chr5-149453963-149454831	ENSMUSG00000018995
chr5-149503409-149504256	ENSMUSG00000018995
chr9-57075684-57076611	ENSMUSG00000019188
chr2-135323602-135324465	ENSMUSG00000019261
chr2-135816734-135817627	ENSMUSG00000019261
chr2-135851246-135852153	ENSMUSG00000019261
chr5-86438504-86438920	ENSMUSG00000019303
chr5-86528432-86529301	ENSMUSG00000019303
chr5-86783650-86784535	ENSMUSG00000019303
chr5-88398229-88399040	ENSMUSG00000019303
chr1-160360358-160361209	ENSMUSG00000019373
chr1-160435959-160436869	ENSMUSG00000019373
chr3-129835335-129835825	ENSMUSG00000019437
chr3-129918156-129919069	ENSMUSG00000019437
chr2-125593914-125594706	ENSMUSG00000019461
chr7-100287987-100288827	ENSMUSG00000019659
chr13-72167479-72168399	ENSMUSG00000019737
chr10-13150168-13150987	ENSMUSG00000019768
chr10-13151123-13151962	ENSMUSG00000019768
chr15-57700825-57701365	ENSMUSG00000019777
chr10-69635944-69636762	ENSMUSG00000019794
chr10-69787200-69788057	ENSMUSG00000019794
chr17-24243370-24244264	ENSMUSG00000019803
chr17-24251004-24251923	ENSMUSG00000019803
chr11-53187716-53188228	ENSMUSG00000019817
chr11-54157428-54158280	ENSMUSG00000019817
chr16-7058317-7059222	ENSMUSG00000019818
chr16-71711864-71712641	ENSMUSG00000019818
chr16-74597694-74598597	ENSMUSG00000019818
chr11-50939588-50940485	ENSMUSG00000019820
chr11-51414201-51415057	ENSMUSG00000019820
chr16-70352741-70353726	ENSMUSG00000019823
chr11-9117285-9118191	ENSMUSG00000019854
chr11-91215412-91215870	ENSMUSG00000019854
chr11-91288951-91289821	ENSMUSG00000019854
chr11-78967073-78967942	ENSMUSG00000019868
chr1-11443017-11443926	ENSMUSG00000019877
chr1-114728896-114729780	ENSMUSG00000019877
chr13-52047907-52048693	ENSMUSG00000019883
chr13-52099945-52100816	ENSMUSG00000019883
chr13-52113327-52114240	ENSMUSG00000019883
chr13-52116571-52117431	ENSMUSG00000019883
chr19-24451306-24451962	ENSMUSG00000019891
chr6-125215066-125215945	ENSMUSG00000019894
